name,address,city,zip,lat,lon,id,geog
Trillium - City of Thousand Oaks,1993 Rancho Conejo Blvd,Thousand Oaks,91320,34.206237,-118.933606,20976,0101000020E61000005C566133C0BB5DC0D21C59F9651A4140
Trillium - Mount Diablo Unified School District,2352 Bisso Ln,Concord,94520,37.982071,-122.046184,21660,0101000020E61000004D66BCADF4825EC0CDACA580B4FD4240
Clean Energy - Dallas Fort Worth Airport South,2474 N Employee Rd,Grapevine,76051,32.876733,-97.039256,21975,0101000020E6100000FE0A992B834258C0782975C938704040
California Clean Fuels,15330 Woodruff Ave,Bellflower,90706,33.893124,-118.117101,21985,0101000020E61000000D5531957E875DC0E8A221E351F24040
Oklahoma Natural Gas - Tulsa Service Center West,7002 S Union Ave,Tulsa,74132,36.060878,-96.011698,22718,0101000020E61000006EDBF7A8BF0058C0E085ADD9CA074240
Oklahoma Natural Gas - Tillman's Producers Co-op,507 S Main St,Frederick,73542,34.384494,-99.017316,22719,0101000020E6100000A46C91B41BC158C00DC1711937314140
Oklahoma Natural Gas - Stillwater Service Center,3424 N Perkins Rd,Stillwater,74075,36.157402,-97.052963,22720,0101000020E61000007A39ECBE634358C09929ADBF25144240
Clean Energy - Seattle-Tacoma International Airport,19425 28th Ave S,SeaTac,98188,47.42816,-122.2995,23203,0101000020E6100000BA490C022B935EC049BA66F2CDB64740
Questar Gas - Flying J Travel Plaza - Springville,1460 N 1750 W,Springville,84663,40.187357,-111.640443,23211,0101000020E6100000F0FCA204FDE85BC09DD66D50FB174440
Questar Gas - 7-Eleven,7953 S Airport Rd,West Jordan,84088,40.607539,-111.996214,23212,0101000020E61000004F745DF8C1FF5BC0B40584D6C34D4440
Salt Lake City International Airport,600 N 3700 W,Salt Lake City,84116,40.781373,-111.979973,23213,0101000020E6100000A27DACE0B7FE5BC01C7DCC0704644440
Dominion Energy - City of Murray,4646 S 500 W,Murray,84123,40.671518,-111.906969,23219,0101000020E6100000185FB4C70BFA5BC07156444DF4554440
City of Corona,430 N Cota St,Corona,92880,33.886895,-117.571608,25425,0101000020E61000007288B83995645DC033FE7DC685F14040
City of Riverside,8095 Lincoln Ave,Riverside,92504,33.92399216,-117.4119492,25437,0101000020E610000041672D605D5A5DC0EE7A066045F64040
